pygame-ce 2.5.7 (SDL 2.32.10, Python 3.14.6)
output: final_results\08_ddqn_img_cnn_aug_5000\DDQN_seed0_0806_211939
random baseline: mean=9.80+-1.28 max=21

[training setup]
model   : DDQN / NatureCNN (1,688,745 trainable parameters)
arch    : 
            [conv1]  Conv2d(4->32,k=8,s=4) -> ReLU
            [conv2]  Conv2d(32->64,k=4,s=2) -> ReLU
            [conv3]  Conv2d(64->64,k=3,s=1) -> ReLU
            [fc]     Flatten -> Linear(3136->512) -> ReLU
            [head]   Linear(512->9)
run     : device=cuda, seed=0, episodes=5000
optim   : lr=0.0001, gamma=0.99, batch=32, buffer=100000, hidden=512, layer_norm=False, dueling_net=False, use_attention=False(4 heads, fusion=residual, position=relative), augmentation=True(spawn_safe), loss_fn=mse, max_grad_norm=10
update  : learning_starts=8000, train_every=4, target_every=1000
explore : epsilon=1->0.01, decay=0.00198
env     : type=img, obs=(4, 84, 84), actions=9, frame_stack=4, frame_skip=4, max_steps=10800
logging : log_every=20, eval_every=100, eval_episodes=20
artifact: best_agent.gif + best_agent_observation.gif, seed=20000, model_fps=15, decision_frames=True

  [eval] ep=1600 mean=8.45+-1.19 median=8.0 max=23 P(>=120)=0.00 entropy=1.95/2.20 wnorm=33.090 srank=225/512
ep 1620/5000 steps=230772 score20=9.10 eps=0.010 loss=0.01645 q=0.645 sps=384 elapsed=10.0m
ep 1640/5000 steps=233736 score20=9.35 eps=0.010 loss=0.01969 q=0.629 sps=384 elapsed=10.1m
ep 1660/5000 steps=236464 score20=8.55 eps=0.010 loss=0.01989 q=0.612 sps=384 elapsed=10.3m
ep 1680/5000 steps=239022 score20=8.05 eps=0.010 loss=0.01597 q=0.594 sps=383 elapsed=10.4m
ep 1700/5000 steps=242947 score20=12.55 eps=0.010 loss=0.01785 q=0.571 sps=382 elapsed=10.6m
  [eval] ep=1700 mean=7.85+-1.62 median=6.0 max=28 P(>=120)=0.00 entropy=1.57/2.20 wnorm=34.184 srank=231/512
ep 1720/5000 steps=246359 score20=10.85 eps=0.010 loss=0.01639 q=0.593 sps=380 elapsed=10.8m
ep 1740/5000 steps=249167 score20=8.75 eps=0.010 loss=0.01549 q=0.593 sps=380 elapsed=10.9m
ep 1760/5000 steps=252243 score20=9.75 eps=0.010 loss=0.01681 q=0.610 sps=380 elapsed=11.1m
ep 1780/5000 steps=255617 score20=10.80 eps=0.010 loss=0.01919 q=0.599 sps=379 elapsed=11.2m
ep 1800/5000 steps=258877 score20=10.45 eps=0.010 loss=0.01713 q=0.581 sps=379 elapsed=11.4m
  [eval] ep=1800 mean=10.55+-1.57 median=8.0 max=25 P(>=120)=0.00 entropy=2.05/2.20 wnorm=35.240 srank=232/512
ep 1820/5000 steps=262318 score20=10.95 eps=0.010 loss=0.01552 q=0.610 sps=378 elapsed=11.6m
ep 1840/5000 steps=265929 score20=11.45 eps=0.010 loss=0.01491 q=0.629 sps=378 elapsed=11.7m
ep 1860/5000 steps=268541 score20=8.15 eps=0.010 loss=0.01790 q=0.632 sps=378 elapsed=11.8m
ep 1880/5000 steps=271913 score20=10.75 eps=0.010 loss=0.01610 q=0.639 sps=378 elapsed=12.0m
ep 1900/5000 steps=274649 score20=8.55 eps=0.010 loss=0.01766 q=0.661 sps=378 elapsed=12.1m
  [eval] ep=1900 mean=10.70+-1.21 median=11.0 max=20 P(>=120)=0.00 entropy=1.46/2.20 wnorm=36.353 srank=233/512
ep 1920/5000 steps=277854 score20=10.30 eps=0.010 loss=0.01601 q=0.665 sps=376 elapsed=12.3m
ep 1940/5000 steps=280883 score20=9.65 eps=0.010 loss=0.01711 q=0.705 sps=376 elapsed=12.4m
ep 1960/5000 steps=284404 score20=11.20 eps=0.010 loss=0.02158 q=0.739 sps=376 elapsed=12.6m
ep 1980/5000 steps=288218 score20=12.25 eps=0.010 loss=0.01810 q=0.797 sps=376 elapsed=12.8m
ep 2000/5000 steps=291876 score20=11.70 eps=0.010 loss=0.02070 q=0.838 sps=376 elapsed=12.9m
  [eval] ep=2000 mean=10.95+-1.22 median=10.5 max=25 P(>=120)=0.00 entropy=1.92/2.20 wnorm=37.467 srank=229/512
ep 2020/5000 steps=294835 score20=9.50 eps=0.010 loss=0.01806 q=0.841 sps=375 elapsed=13.1m
ep 2040/5000 steps=298571 score20=11.95 eps=0.010 loss=0.02299 q=0.867 sps=375 elapsed=13.3m
ep 2060/5000 steps=301468 score20=9.15 eps=0.010 loss=0.02546 q=0.885 sps=375 elapsed=13.4m
ep 2080/5000 steps=304956 score20=11.00 eps=0.010 loss=0.02238 q=0.902 sps=374 elapsed=13.6m
ep 2100/5000 steps=308888 score20=12.60 eps=0.010 loss=0.02146 q=0.887 sps=374 elapsed=13.8m
  [eval] ep=2100 mean=8.95+-1.31 median=8.5 max=25 P(>=120)=0.00 entropy=1.86/2.20 wnorm=38.619 srank=232/512
ep 2120/5000 steps=311556 score20=8.35 eps=0.010 loss=0.02210 q=0.921 sps=373 elapsed=13.9m
ep 2140/5000 steps=315192 score20=11.60 eps=0.010 loss=0.02226 q=0.959 sps=373 elapsed=14.1m
ep 2160/5000 steps=318498 score20=10.45 eps=0.010 loss=0.02091 q=0.966 sps=372 elapsed=14.3m
ep 2180/5000 steps=322335 score20=12.20 eps=0.010 loss=0.02421 q=1.009 sps=372 elapsed=14.4m
ep 2200/5000 steps=324861 score20=7.90 eps=0.010 loss=0.02470 q=1.012 sps=372 elapsed=14.5m
  [eval] ep=2200 mean=13.30+-1.24 median=12.0 max=24 P(>=120)=0.00 entropy=1.84/2.20 wnorm=39.869 srank=230/512
ep 2220/5000 steps=328335 score20=11.10 eps=0.010 loss=0.02088 q=1.033 sps=371 elapsed=14.7m
ep 2240/5000 steps=331278 score20=9.15 eps=0.010 loss=0.02122 q=1.054 sps=371 elapsed=14.9m
ep 2260/5000 steps=334974 score20=11.80 eps=0.010 loss=0.02331 q=1.054 sps=371 elapsed=15.0m
ep 2280/5000 steps=338479 score20=11.20 eps=0.010 loss=0.01911 q=1.013 sps=372 elapsed=15.2m
ep 2300/5000 steps=341469 score20=9.45 eps=0.010 loss=0.02366 q=1.016 sps=371 elapsed=15.3m
  [eval] ep=2300 mean=11.60+-1.29 median=11.0 max=24 P(>=120)=0.00 entropy=1.62/2.20 wnorm=40.956 srank=229/512
ep 2320/5000 steps=344444 score20=9.30 eps=0.010 loss=0.02021 q=1.030 sps=370 elapsed=15.5m
ep 2340/5000 steps=347307 score20=9.00 eps=0.010 loss=0.02050 q=0.998 sps=370 elapsed=15.6m
ep 2360/5000 steps=350424 score20=9.85 eps=0.010 loss=0.02501 q=0.997 sps=370 elapsed=15.8m
ep 2380/5000 steps=353592 score20=10.05 eps=0.010 loss=0.02193 q=0.999 sps=370 elapsed=15.9m
ep 2400/5000 steps=357271 score20=11.80 eps=0.010 loss=0.02573 q=1.020 sps=370 elapsed=16.1m
  [eval] ep=2400 mean=8.30+-1.16 median=7.0 max=17 P(>=120)=0.00 entropy=1.76/2.20 wnorm=41.866 srank=229/512
ep 2420/5000 steps=360627 score20=10.80 eps=0.010 loss=0.02210 q=1.023 sps=369 elapsed=16.3m
ep 2440/5000 steps=364624 score20=12.80 eps=0.010 loss=0.02022 q=1.026 sps=369 elapsed=16.5m
ep 2460/5000 steps=367646 score20=9.60 eps=0.010 loss=0.02152 q=1.004 sps=368 elapsed=16.6m
ep 2480/5000 steps=371286 score20=11.55 eps=0.010 loss=0.02107 q=0.961 sps=368 elapsed=16.8m
ep 2500/5000 steps=373959 score20=8.50 eps=0.010 loss=0.02146 q=0.939 sps=368 elapsed=17.0m
  [eval] ep=2500 mean=14.45+-1.13 median=14.0 max=27 P(>=120)=0.00 entropy=1.71/2.20 wnorm=42.674 srank=230/512
ep 2520/5000 steps=377529 score20=11.40 eps=0.010 loss=0.02083 q=0.914 sps=366 elapsed=17.2m
ep 2540/5000 steps=381184 score20=11.65 eps=0.010 loss=0.02010 q=0.905 sps=366 elapsed=17.4m
ep 2560/5000 steps=384233 score20=9.60 eps=0.010 loss=0.02023 q=0.853 sps=366 elapsed=17.5m
ep 2580/5000 steps=387572 score20=10.55 eps=0.010 loss=0.01835 q=0.801 sps=365 elapsed=17.7m
ep 2600/5000 steps=391198 score20=11.60 eps=0.010 loss=0.01709 q=0.754 sps=365 elapsed=17.8m
  [eval] ep=2600 mean=12.85+-1.42 median=10.5 max=23 P(>=120)=0.00 entropy=2.08/2.20 wnorm=43.573 srank=232/512
ep 2620/5000 steps=394945 score20=12.10 eps=0.010 loss=0.01700 q=0.726 sps=365 elapsed=18.1m
ep 2640/5000 steps=398232 score20=10.45 eps=0.010 loss=0.01530 q=0.712 sps=365 elapsed=18.2m
ep 2660/5000 steps=401929 score20=11.80 eps=0.010 loss=0.01491 q=0.682 sps=365 elapsed=18.4m
ep 2680/5000 steps=405842 score20=12.50 eps=0.010 loss=0.01525 q=0.669 sps=365 elapsed=18.5m
ep 2700/5000 steps=409087 score20=10.40 eps=0.010 loss=0.01487 q=0.688 sps=365 elapsed=18.7m
  [eval] ep=2700 mean=10.35+-1.05 median=10.5 max=20 P(>=120)=0.00 entropy=1.74/2.20 wnorm=44.415 srank=233/512
ep 2720/5000 steps=412152 score20=9.75 eps=0.010 loss=0.01484 q=0.688 sps=364 elapsed=18.9m
ep 2740/5000 steps=415641 score20=11.15 eps=0.010 loss=0.01319 q=0.698 sps=364 elapsed=19.0m
ep 2760/5000 steps=419190 score20=11.35 eps=0.010 loss=0.01865 q=0.725 sps=364 elapsed=19.2m
ep 2780/5000 steps=422315 score20=9.95 eps=0.010 loss=0.01598 q=0.698 sps=364 elapsed=19.3m
ep 2800/5000 steps=426899 score20=14.80 eps=0.010 loss=0.01961 q=0.701 sps=364 elapsed=19.5m
  [eval] ep=2800 mean=8.85+-0.99 median=9.5 max=21 P(>=120)=0.00 entropy=1.59/2.20 wnorm=45.555 srank=236/512
ep 2820/5000 steps=430268 score20=10.70 eps=0.010 loss=0.01514 q=0.671 sps=364 elapsed=19.7m
ep 2840/5000 steps=434123 score20=12.35 eps=0.010 loss=0.01456 q=0.666 sps=364 elapsed=19.9m
ep 2860/5000 steps=437740 score20=11.55 eps=0.010 loss=0.01529 q=0.669 sps=364 elapsed=20.0m
ep 2880/5000 steps=441824 score20=13.20 eps=0.010 loss=0.01366 q=0.661 sps=365 elapsed=20.2m
ep 2900/5000 steps=444727 score20=9.25 eps=0.010 loss=0.01480 q=0.648 sps=365 elapsed=20.3m
  [eval] ep=2900 mean=12.40+-1.47 median=12.0 max=23 P(>=120)=0.00 entropy=1.76/2.20 wnorm=46.479 srank=238/512
ep 2920/5000 steps=448873 score20=13.35 eps=0.010 loss=0.01441 q=0.676 sps=364 elapsed=20.5m
ep 2940/5000 steps=452336 score20=11.10 eps=0.010 loss=0.01250 q=0.698 sps=365 elapsed=20.7m
